Date : 2024-02-25 16:09:49
Directory : c:\Users\adria\Documents\DHBW\Studienarbeit\DUO
Total : 129 files,  6260 codes, 681 comments, 1136 blanks, all 8077 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Flutter\AppFrameworkInfo.plist                                               | XML                   |         26 |          0 |          1 |         27 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist   | XML                   |          8 |          0 |          1 |          9 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                     | XML                   |          8 |          0 |          1 |          9 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\RunnerTests\RunnerTests.swift                                                | Swift                 |          7 |          2 |          4 |         13 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\AppDelegate.swift                                                     | Swift                 |         12 |          0 |          2 |         14 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                      | JSON                  |        122 |          0 |          1 |        123 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                    | JSON                  |         23 |          0 |          1 |         24 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                        | Markdown              |          3 |          0 |          2 |          5 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Base.lproj\LaunchScreen.storyboard                                    | XML                   |         36 |          1 |          1 |         38 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Base.lproj\Main.storyboard                                            | XML                   |         25 |          1 |          1 |         27 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Info.plist                                                            | XML                   |         49 |          0 |          1 |         50 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Runner-Bridging-Header.h                                              | C++                   |          1 |          0 |          1 |          2 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\main.dart                                                                    | Dart                  |         31 |          0 |          4 |         35 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\auth_messages.pb.dart                                                     | Dart                  |        323 |          9 |         47 |        379 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\auth_messages.pbenum.dart                                                 | Dart                  |          0 |          9 |          3 |         12 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\auth_messages.pbjson.dart                                                 | Dart                  |         65 |         15 |         16 |         96 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pb.dart                                                       | Dart                  |          1 |          9 |          4 |         14 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pbenum.dart                                                   | Dart                  |          0 |          9 |          3 |         12 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pbgrpc.dart                                                   | Dart                  |        129 |          9 |         23 |        161 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pbjson.dart                                                   | Dart                  |          3 |          9 |          4 |         16 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\google\protobuf\timestamp.pb.dart                                         | Dart                  |         68 |        110 |         13 |        191 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\google\protobuf\timestamp.pbenum.dart                                     | Dart                  |          0 |          9 |          3 |         12 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\google\protobuf\timestamp.pbjson.dart                                     | Dart                  |         14 |         10 |          6 |         30 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\session_messages.pb.dart                                                  | Dart                  |        524 |          9 |         70 |        603 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\session_messages.pbenum.dart                                              | Dart                  |          0 |          9 |          3 |         12 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\session_messages.pbjson.dart                                              | Dart                  |        100 |         18 |         22 |        140 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\void.pb.dart                                                              | Dart                  |         30 |          9 |         11 |         50 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\void.pbenum.dart                                                          | Dart                  |          0 |          9 |          3 |         12 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\void.pbjson.dart                                                          | Dart                  |          9 |         10 |          6 |         25 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\provider\api_provider.dart                                                   | Dart                  |         24 |          0 |          6 |         30 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\provider\game_state_provider.dart                                            | Dart                  |          8 |          0 |          3 |         11 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\provider\storage_provider.dart                                               | Dart                  |         22 |          0 |          6 |         28 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\login_screen.dart                                                    | Dart                  |         51 |          0 |          4 |         55 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\registration_screen.dart                                             | Dart                  |         67 |          0 |          5 |         72 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\session_test_screen.dart                                             | Dart                  |         97 |          5 |          7 |        109 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\start_screen.dart                                                    | Dart                  |         62 |          0 |          7 |         69 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\connection\abstract_connection.dart                                    | Dart                  |          9 |          0 |          2 |         11 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\connection\grpc_server_connection.dart                                 | Dart                  |        129 |         13 |         25 |        167 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\constants.dart                                                         | Dart                  |          5 |          1 |          1 |          7 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\encryption\encryption_handler.dart                                     | Dart                  |         29 |          3 |         10 |         42 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\linux\flutter\generated_plugin_registrant.cc                                     | C++                   |          7 |          4 |          5 |         16 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\linux\flutter\generated_plugin_registrant.h                                      | C++                   |          5 |          5 |          6 |         16 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\linux\flutter\generated_plugins.cmake                                            | CMake                 |         19 |          0 |          6 |         25 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\linux\main.cc                                                                    | C++                   |          5 |          0 |          2 |          7 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\linux\my_application.cc                                                          | C++                   |         74 |         11 |         20 |        105 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\linux\my_application.h                                                           | C++                   |          7 |          7 |          5 |         19 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Flutter\GeneratedPluginRegistrant.swift                                    | Swift                 |          8 |          3 |          4 |         15 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist | XML                   |          8 |          0 |          1 |          9 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                   | XML                   |          8 |          0 |          1 |          9 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\RunnerTests\RunnerTests.swift                                              | Swift                 |          7 |          2 |          4 |         13 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner\AppDelegate.swift                                                   | Swift                 |          8 |          0 |          2 |         10 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                    | JSON                  |         68 |          0 |          1 |         69 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner\Base.lproj\MainMenu.xib                                             | XML                   |        343 |          0 |          1 |        344 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner\Info.plist                                                          | XML                   |         32 |          0 |          1 |         33 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\macos\Runner\MainFlutterWindow.swift                                             | Swift                 |         12 |          0 |          4 |         16 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\pubspec.yaml                                                                     | YAML                  |         26 |         60 |         17 |        103 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\test\widget_test.dart                                                            | Dart                  |         14 |         10 |          7 |         31 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\web\index.html                                                                   | HTML                  |         38 |         16 |          6 |         60 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\web\manifest.json                                                                | JSON                  |         35 |          0 |          1 |         36 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\windows\flutter\generated_plugin_registrant.cc                                   | C++                   |          6 |          4 |          5 |         15 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\windows\flutter\generated_plugin_registrant.h                                    | C++                   |          5 |          5 |          6 |         16 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\windows\flutter\generated_plugins.cmake                                          | CMake                 |         19 |          0 |          6 |         25 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\windows\runner\flutter_window.cpp                                                | C++                   |         49 |          7 |         16 |         72 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\windows\runner\flutter_window.h                                                  | C++                   |         20 |          5 |          9 |         34 |
| c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\windows\runner\main.cpp                                                          | C++                   |         30 |          4 |         10 |         44 |
